id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26594345,Cozy quiet Athens retreat,199948849,Peter,,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,37.99466720961542,23.722355150465386,Entire home/apt,30,4,0,,,1,0
26595693,"Beautiful stately apartment,80 m2 , 7' from metro!",147835189,Christie,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98722986859729,23.740314692790832,Entire home/apt,60,1,0,,,1,347
26596042,Shoehouse,199958575,Αθηνά,,ΚΕΡΑΜΕΙΚΟΣ,37.97875978724718,23.721567685005482,Entire home/apt,120,2,1,2018-07-14,0.91,1,363
26596224,Sunny studio in the sky! Acropolis and city views!,199963555,Thanos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96138381058415,23.72145232510999,Entire home/apt,50,1,7,2018-08-06,5.38,1,327
26597581,Cozy apartment in center of Athens,199972430,Ελενη,,ΝΕΑ ΚΥΨΕΛΗ,37.99867201310741,23.747380286369577,Entire home/apt,42,2,5,2018-08-08,5,1,163
26597871,Stylish Apartment near Acropolis and Syntagma Sqr,5038643,Marilena,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97343017768011,23.732903444000254,Entire home/apt,50,2,2,2018-08-11,2,1,161
26599830,Light and cozy apartment near to subway,199521401,Ολγα,,ΚΟΛΟΚΥΝΘΟΥ,38.001329686012724,23.708972772734164,Entire home/apt,45,2,2,2018-08-10,2,1,14
26601349,"A classy, historic, renovated apartment.",66909088,Maria,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99293972831344,23.730778105293204,Entire home/apt,95,2,1,2018-07-18,1,1,180
26602957,Elegant B1 Apartment in the heart of Plaka,29927830,"Dimitris, Konstantinos & Sevi",,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97638689097592,23.72889576961246,Entire home/apt,80,1,2,2018-07-28,2,80,364
26603187,"Hip, Exposed Stone Wall  House in Thisseio, Athens",6369982,Thanos,,ΘΗΣΕΙΟ,37.974353526945684,23.718521019443717,Entire home/apt,85,3,0,,,1,337
26603753,Veranda Apartment Near Gazi.,159842331,Giant,,ΠΕΤΡΑΛΩΝΑ,37.973701298346114,23.709231491444992,Entire home/apt,45,2,0,,,14,91
26606609,NEW! Cozy Room By the National Museum of Athens!,17652882,Alex,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98651747613281,23.733584364544356,Private room,17,3,2,2018-07-23,1.58,16,0
26612151,Newly built cozy apartment,118213401,Κωνσταντίνα - Παντελής,,ΣΕΠΟΛΙΑ,38.00344645358653,23.716082530972052,Entire home/apt,45,3,1,2018-07-28,1,1,270
26613166,"A sunny, luxurious penthouse.",77041635,Ράνια,,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,37.990488495342234,23.720644442281795,Entire home/apt,28,1,5,2018-07-28,5,1,333
26614195,"'Kassandra Apartment', next to Ampelokipoi metro",65714690,Home,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98314008847321,23.757052120520097,Entire home/apt,90,3,0,,,53,348
26614980,"Namaste,my personal temple",38696676,Athina,,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.988717429507,23.712487939350222,Private room,25,2,0,,,1,65
26616262,The ideal place for beautiful moments in athens,190580105,Andreas,,ΠΑΓΚΡΑΤΙ,37.97036660702725,23.743519964471965,Entire home/apt,45,2,3,2018-08-12,3,1,317
26617136,Sunny cosy apartment at Ampelokipoi,200105087,Kostas,,ΕΛΛΗΝΟΡΩΣΩΝ,37.995040327025706,23.77087214794527,Entire home/apt,30,1,6,2018-08-08,4.86,1,360
26617353,Cozy Apartment Near the Centre!,198378562,Kangsheng,,ΝΕΑ ΚΥΨΕΛΗ,37.99950227143641,23.742606874837033,Entire home/apt,49,1,0,,,8,170
26617614,Σπιτι ησυχο 250μ από τον σταθμό τρένου,67433215,Afriditi,,ΠΑΤΗΣΙΑ,38.012449297493454,23.72983052582651,Entire home/apt,21,3,3,2018-08-12,3,1,168
26617676,Monastiraki downtown spot!,200110369,Sofia,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97746829285384,23.7274456382515,Entire home/apt,45,2,2,2018-07-30,2,1,271
26617925,Feels like China near the Athens centre!,198378562,Kangsheng,,ΚΥΨΕΛΗ,38.00008120643074,23.74258194201574,Entire home/apt,49,1,0,,,8,155
26619703,New Astonishing Acropolis view Aprtm,200121689,Konstantinos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.975816867970515,23.724881742087664,Entire home/apt,70,3,4,2018-08-15,3.16,1,315
26620126,Greece U Around Athens Thissio Suites No. 4,13115279,Greece U Around,,ΘΗΣΕΙΟ,37.97437181550431,23.713618889174978,Entire home/apt,60,1,1,2018-07-29,1,7,359
26620318,Smart renovated studio downtown Athens,45346949,Sevi,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98647500303417,23.732594450584166,Entire home/apt,25,2,5,2018-08-13,4.69,4,194
26620895,Sunny's comfort experience in Athens,200107663,Sunny,,ΑΝΩ ΚΥΨΕΛΗ,38.00464367261606,23.737413998277464,Entire home/apt,50,2,1,2018-07-31,1,1,364
26622009,NV8 (Neofitou Vamva 8) Kolonaki Square,200123445,Yannis,,ΚΟΛΩΝΑΚΙ,37.97759257456215,23.74218818092945,Entire home/apt,99,2,0,,,1,177
26623176,MJ Luxury Suites - G3,122791666,Crucial,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97944289062895,23.725479523366,Entire home/apt,100,2,0,,,33,346
26623959,MJ Luxury Suites - G2,122791666,Crucial,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97890599040175,23.726511578197663,Entire home/apt,100,2,0,,,33,340
26624109,Δωμάτιο σε παγκρατιώτικο διαμέρισμα,25033447,Aikaterini,,ΠΑΓΚΡΑΤΙ,37.96469974326238,23.751658754743158,Private room,13,2,1,2018-08-03,1,1,126
26624170,MJ Luxury Suites - G1,122791666,Crucial,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97929655516445,23.725269118256918,Entire home/apt,130,1,0,,,33,336
26624931,Downtown Suite Ground Floor by K&K,191530509,Evelin,,ΘΗΣΕΙΟ,37.976875191578316,23.721735591279323,Entire home/apt,146,1,0,,,6,138
26626443,OENOTRON  HOME - Neos Kosmos,200156013,Ιωάννης,,ΝΕΟΣ ΚΟΣΜΟΣ,37.954838577195765,23.72306369999455,Entire home/apt,39,1,0,,,1,179
26626869,NICE APPARTMENT  CLOSE TO THE CENTER OF ATHENS,200157808,Γεωργιος,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.01077937343883,23.73018494165732,Entire home/apt,50,2,3,2018-08-05,3,1,365
26627399,★Stylish Apartment for Couples&Family,84443890,Dimitris,,ΠΟΛΥΓΩΝΟ,37.994096649136715,23.755867649663983,Entire home/apt,25,1,1,2018-08-14,1,1,167
26627498,Grand Apartment in the Centre of Athens,200161018,Argia,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98830411737088,23.7260712879961,Entire home/apt,130,1,2,2018-07-28,2,2,177
26628506,Acropolis - Historical City Center of Athens!,117778727,Elena - Athina,,ΖΑΠΠΕΙΟ,37.968573261464336,23.73150611829672,Entire home/apt,69,1,2,2018-08-09,2,3,174
26630648,Central and quiet flat - 5min walk from metro,188853275,Alkiviadis,,ΕΛΛΗΝΟΡΩΣΩΝ,37.99404543675109,23.770398888475807,Entire home/apt,32,1,3,2018-08-14,3,1,41
26630969,Bright and Comfortable Apartment  Heart of Athens,200083600,Versaweiss,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97756007519196,23.726432382203804,Entire home/apt,48,1,3,2018-07-31,3,1,141
26631338,Central Athens 6 person Basis in Residential Area,59577173,Michalis,,ΘΗΣΕΙΟ,37.97686836603374,23.718105210988895,Entire home/apt,60,3,4,2018-08-07,4,1,160
26631562,Luxury home with breathtaking view under Acropolis,130912843,Chrysavgi,,ΑΚΡΟΠΟΛΗ,37.97250905556985,23.719968221863468,Entire home/apt,85,1,3,2018-07-22,3,1,166
26634063,Cosy apartment,136367058,Paraskevi,,ΠΕΤΡΑΛΩΝΑ,37.97620170091533,23.7122352813016,Entire home/apt,60,1,0,,,1,15
26636157,ACROPOLIS AREA APARTMENT,70537919,Shila,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9791372356689,23.724115342206016,Private room,196,1,0,,,5,365
26637371,THISSIO APARTMENT BY ACROPOLIS,70537919,Shila,,ΘΗΣΕΙΟ,37.97843904681485,23.722538405674165,Entire home/apt,99,1,0,,,5,365
26641342,Σπιτι κοντα στον ηλεκτρικο αταθμο,200275280,Μίκελ,,ΠΕΤΡΑΛΩΝΑ,37.96820621127761,23.705727232546177,Shared room,50,9,0,,,1,181
26643771,Cozy Apartment Close to an Historic City Center,61905606,SharingXchange,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98259914235135,23.754641715721686,Entire home/apt,43,2,0,,,12,355
26648004,Authentic 1960s Athenian Apartment,49546273,David,,ΝΕΑ ΚΥΨΕΛΗ,38.00133167811371,23.745185736474806,Entire home/apt,22,1,0,,,1,89
26648543,Elegant Tranquility // 2BR Spacious Flat,195613761,Dov,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99619271807674,23.728983195550033,Entire home/apt,50,1,0,,,2,181
